a.event_date,c.area,c.regional,c.cluster,c.kabupaten,id pelanggan,a.package_keyword,b.grouping,b.day,b.quota_bns_mb,rev,trx,subs
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888578110135,69339,SAUDI ARABIA (UMROH),12,10000,255050,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1867831361071,60034,ROAMax CHINA,15,15000,382500,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888627824083,60053,ROAMax EROPA,15,10000,340000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,144491638680966,24071,SAUDI ARABIA (UMROH),12,5000,233750,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,144491638680966,69339,SAUDI ARABIA (UMROH),12,10000,255000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,144560187199453,69339,SAUDI ARABIA (UMROH),12,10000,255000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,186902439621,69339,SAUDI ARABIA (UMROH),12,10000,255000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888602593957,69339,SAUDI ARABIA (UMROH),12,10000,255500,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1867847681664,57530,ROAMax ASIA AUSTRALIA,15,5000,225000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1870158293749,57282,ROAMax TURKEY,7,5000,170000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1959841572128,69339,SAUDI ARABIA (UMROH),12,10000,255000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1868586354839,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1870531842453,24071,SAUDI ARABIA (UMROH),12,5000,234050,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1870921789904,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888688284896,24075,SAUDI ARABIA (UMROH),12,5000,289030,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1889550246397,69339,SAUDI ARABIA (UMROH),12,10000,255050,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1890405309347,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1890573158793,24071,SAUDI ARABIA (UMROH),12,5000,234050,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1891079155159,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1892233767809,24071,SAUDI ARABIA (UMROH),12,5000,234050,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1960583900946,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1961455900176,70381,ROAMax CHINA HOTSPOT,30,12000,552500,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1962394044462,24071,SAUDI ARABIA (UMROH),12,5000,233800,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1868690454173,50456,ROAMax MALAYSIA,3,15000,92250,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1871867793221,58776,SAUDI ARABIA (HAJI),45,20000,792500,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888695641239,58779,SAUDI ARABIA (HAJI),45,20000,945500,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1889098004343,43210,SAUDI ARABIA (UMROH),17,10000,318750,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1961517403372,24071,SAUDI ARABIA (UMROH),12,5000,234250,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1888863500943,69339,SAUDI ARABIA (UMROH),12,10000,255000,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1871564636500,70391,ROAMax MALAYSIA HOTSPOT,30,20000,340030,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1889033187790,48832,ROAMax USA-EUROPE,30,5000,311850,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1962135452725,24250,ROAMax HONGKONG,7,30000,170002,1,1
2025,JAWA BALI,JATIM,KOTA SURABAYA,KOTA SURABAYA,1868017163190,69339,SAUDI ARABIA (UMROH),12,10000,255549,1,1
